region_code,code_country_maddison,code_country
re_latin,ITA,it
re_muslim_world,,
re_greek_world,EGY,eg
re_eastern_europe,POL,pl
re_balkans,GRC,
re_nordic_countries,SWE,
re_northwestern_europe,,
re_western_europe,,
re_british_islands,,
re_low_countries,NLD,
re_german_world,DEU,de
re_southwestern_europe,,
re_greece,TUR,tr
re_ottoman_turkey,TUR,tr
re_slav_world,RUS,ru
re_central_europe,POL,
re_arabian_peninsula,,
re_persian_world,,
re_chinese_world,CHN,cn
re_indian_world,,
re_ottoman_world,,
re_sweden,SWE,se
re_norway,NOR,no
re_denmark,DNK,dk
re_france,FRA,fr
re_ireland,IRL,ie
re_united_kingdom,GBR,gb
re_iceland,ISL,is
re_finland,FIN,fi
re_belgium,BEL,be
re_netherlands,NLD,nl
re_germany,DEU,de
re_switzerland,CHE,ch
re_austria,AUT,at
re_spain,ESP,es
re_portugal,PRT,pt
re_italy,ITA,it
re_arabic_world,EGY,eg
re_japan,JPN,jp
re_korea,KOR,kr
re_south_east_asia,,