,country_name,iso_a3
0,Albania,ALB
1,Argentina,ARG
2,Australia,AUS
3,Austria,AUT
4,Belgium,BEL
5,Bulgaria,BGR
6,Bolivia (Plurinational State of),BOL
7,Brazil,BRA
8,Canada,CAN
9,Switzerland,CHE
10,Chile,CHL
11,China,CHN
12,C̫te d'Ivoire,CIV
13,Colombia,COL
14,Czechoslovakia,CSK
15,Cuba,CUB
16,Germany,DEU
17,Denmark,DNK
18,Algeria,DZA
19,Ecuador,ECU
20,Egypt,EGY
21,Spain,ESP
22,Estonia,EST
23,Finland,FIN
24,France,FRA
25,United Kingdom,GBR
26,Ghana,GHA
27,Greece,GRC
28,"China, Hong Kong SAR",HKG
29,Hungary,HUN
30,Indonesia,IDN
31,India,IND
32,Ireland,IRL
33,Iran (Islamic Republic of),IRN
34,Iraq,IRQ
35,Iceland,ISL
36,Israel,ISR
37,Italy,ITA
38,Jamaica,JAM
39,Jordan,JOR
40,Japan,JPN
41,Republic of Korea,KOR
42,Lebanon,LBN
43,Liberia,LBR
44,Sri Lanka,LKA
45,Morocco,MAR
46,Mexico,MEX
47,Myanmar,MMR
48,Malaysia,MYS
49,Nigeria,NGA
50,Netherlands,NLD
51,Norway,NOR
52,Nepal,NPL
53,New Zealand,NZL
54,Peru,PER
55,Philippines,PHL
56,Poland,POL
57,D.P.R. of Korea,PRK
58,Portugal,PRT
59,State of Palestine,PSE
60,Romania,ROU
61,Russian Federation,RUS
62,Saudi Arabia,SAU
63,Singapore,SGP
64,Former USSR,SUN
65,Sweden,SWE
66,Syrian Arab Republic,SYR
67,Thailand,THA
68,Tunisia,TUN
69,Turkey,TUR
70,"Taiwan, Province of China",TWN
71,Uruguay,URY
72,United States,USA
73,Venezuela (Bolivarian Republic of),VEN
74,Viet Nam,VNM
75,Former Yugoslavia,YUG
76,South Africa,ZAF
