,year,population,region_name
0,0,6000.0,Chinese world
1,10,4750.0,Chinese world
2,20,3500.0,Chinese world
3,30,3708.3333333333335,Chinese world
4,40,3916.6666666666665,Chinese world
5,50,4125.0,Chinese world
6,60,4333.333333333333,Chinese world
7,70,4541.666666666667,Chinese world
8,80,4750.0,Chinese world
9,90,4958.333333333334,Chinese world
10,100,5166.666666666667,Chinese world
11,110,5375.0,Chinese world
12,120,5583.333333333334,Chinese world
13,130,5791.666666666667,Chinese world
14,140,6000.0,Chinese world
15,150,5537.5,Chinese world
16,160,5075.0,Chinese world
17,170,4612.5,Chinese world
18,180,4150.0,Chinese world
19,190,3687.5,Chinese world
20,200,3225.0,Chinese world
21,210,2762.5,Chinese world
22,220,2300.0,Chinese world
23,230,2450.0,Chinese world
24,240,2600.0,Chinese world
25,250,2750.0,Chinese world
26,260,2900.0,Chinese world
27,270,3050.0,Chinese world
28,280,3200.0,Chinese world
29,290,3350.0,Chinese world
30,300,3500.0,Chinese world
31,310,3583.3333333333335,Chinese world
32,320,3666.6666666666665,Chinese world
33,330,3750.0,Chinese world
34,340,3833.3333333333335,Chinese world
35,350,3916.6666666666665,Chinese world
36,360,4000.0,Chinese world
37,370,4083.333333333333,Chinese world
38,380,4166.666666666667,Chinese world
39,390,4250.0,Chinese world
40,400,4333.333333333333,Chinese world
41,410,4416.666666666667,Chinese world
42,420,4500.0,Chinese world
43,430,4583.333333333333,Chinese world
44,440,4666.666666666666,Chinese world
45,450,4750.0,Chinese world
46,460,4833.333333333333,Chinese world
47,470,4916.666666666666,Chinese world
48,480,5000.0,Chinese world
49,490,5083.333333333333,Chinese world
50,500,5166.666666666666,Chinese world
51,510,5250.0,Chinese world
52,520,5333.333333333333,Chinese world
53,530,5416.666666666666,Chinese world
54,540,5500.0,Chinese world
55,550,5583.333333333333,Chinese world
56,560,5666.666666666666,Chinese world
57,570,5750.0,Chinese world
58,580,5833.333333333333,Chinese world
59,590,5916.666666666666,Chinese world
60,600,6000.0,Chinese world
61,610,4250.0,Chinese world
62,620,2500.0,Chinese world
63,630,2846.153846153846,Chinese world
64,640,3192.3076923076924,Chinese world
65,650,3538.461538461538,Chinese world
66,660,3884.6153846153848,Chinese world
67,670,4230.7692307692305,Chinese world
68,680,4576.923076923076,Chinese world
69,690,4923.076923076923,Chinese world
70,700,5269.2307692307695,Chinese world
71,710,5615.384615384615,Chinese world
72,720,5961.538461538461,Chinese world
73,730,6307.692307692308,Chinese world
74,740,6653.846153846153,Chinese world
75,750,7000.0,Chinese world
76,760,6849.565217391304,Chinese world
77,770,6699.130434782609,Chinese world
78,780,6548.695652173913,Chinese world
79,790,6398.260869565217,Chinese world
80,800,6247.826086956522,Chinese world
81,810,6097.391304347826,Chinese world
82,820,5946.95652173913,Chinese world
83,830,5796.521739130435,Chinese world
84,840,5646.086956521739,Chinese world
85,850,5495.652173913044,Chinese world
86,860,5345.217391304348,Chinese world
87,870,5194.782608695652,Chinese world
88,880,5044.347826086956,Chinese world
89,890,4893.913043478261,Chinese world
90,900,4743.478260869565,Chinese world
91,910,4593.04347826087,Chinese world
92,920,4442.608695652174,Chinese world
93,930,4292.173913043478,Chinese world
94,940,4141.739130434782,Chinese world
95,950,3991.304347826087,Chinese world
96,960,3840.869565217391,Chinese world
97,970,3690.4347826086955,Chinese world
98,980,3540.0,Chinese world
99,990,4344.615384615385,Chinese world
100,1000,5149.2307692307695,Chinese world
101,1010,5953.846153846154,Chinese world
102,1020,6758.461538461539,Chinese world
103,1030,7563.076923076924,Chinese world
104,1040,8367.692307692309,Chinese world
105,1050,9172.307692307691,Chinese world
106,1060,9976.923076923078,Chinese world
107,1070,10781.538461538461,Chinese world
108,1080,11586.153846153848,Chinese world
109,1090,12390.76923076923,Chinese world
110,1100,13195.384615384615,Chinese world
111,1110,14000.0,Chinese world
112,1120,11500.0,Chinese world
113,1130,9000.0,Chinese world
114,1140,9687.5,Chinese world
115,1150,10375.0,Chinese world
116,1160,11062.5,Chinese world
117,1170,11750.0,Chinese world
118,1180,12437.5,Chinese world
119,1190,13125.0,Chinese world
120,1200,13812.5,Chinese world
121,1210,14500.0,Chinese world
122,1220,13625.0,Chinese world
123,1230,12750.0,Chinese world
124,1240,11875.0,Chinese world
125,1250,11000.0,Chinese world
126,1260,10125.0,Chinese world
127,1270,9250.0,Chinese world
128,1280,8375.0,Chinese world
129,1290,7500.0,Chinese world
130,1300,7750.0,Chinese world
131,1310,8000.0,Chinese world
132,1320,8250.0,Chinese world
133,1330,8500.0,Chinese world
134,1340,9000.0,Chinese world
135,1350,8632.0,Chinese world
136,1360,8264.0,Chinese world
137,1370,7896.0,Chinese world
138,1380,7528.0,Chinese world
139,1390,7160.0,Chinese world
140,1400,7663.75,Chinese world
141,1410,8167.5,Chinese world
142,1420,8671.25,Chinese world
143,1430,9175.0,Chinese world
144,1440,9678.75,Chinese world
145,1450,10182.5,Chinese world
146,1460,10686.25,Chinese world
147,1470,11190.0,Chinese world
148,1480,11693.75,Chinese world
149,1490,12197.5,Chinese world
150,1500,12701.25,Chinese world
151,1510,13205.0,Chinese world
152,1520,13708.75,Chinese world
153,1530,14212.5,Chinese world
154,1540,14716.25,Chinese world
155,1550,15220.0,Chinese world
156,1560,15723.75,Chinese world
157,1570,16227.5,Chinese world
158,1580,16731.25,Chinese world
159,1590,17235.0,Chinese world
160,1600,17738.75,Chinese world
161,1610,18242.5,Chinese world
162,1620,18746.25,Chinese world
163,1630,19250.0,Chinese world
164,1640,15250.0,Chinese world
165,1650,15500.0,Chinese world
166,1660,15750.0,Chinese world
167,1670,16000.0,Chinese world
168,1680,17515.0,Chinese world
169,1690,19030.0,Chinese world
170,1700,20545.0,Chinese world
171,1710,22060.0,Chinese world
172,1720,23575.0,Chinese world
173,1730,25090.0,Chinese world
174,1740,26605.0,Chinese world
175,1750,28120.0,Chinese world
176,1760,29635.0,Chinese world
177,1770,31150.0,Chinese world
178,1780,32582.0,Chinese world
179,1790,34014.0,Chinese world
180,1800,35446.0,Chinese world
181,1810,36878.0,Chinese world
182,1820,38310.0,Chinese world
183,1830,40076.666666666664,Chinese world
184,1840,41843.333333333336,Chinese world
185,1850,43610.0,Chinese world
186,1860,41223.333333333336,Chinese world
187,1870,38836.666666666664,Chinese world
188,1880,36450.0,Chinese world
